Date,Offline_Spend,Online_Spend,Total_Spend,Online_Pct,Offline_Pct
2019-01-01,4500,2424.5,6924.5,0.3501,0.6499
2019-01-02,4500,3480.36,7980.360000000001,0.4361,0.5639
2019-01-03,4500,1576.38,6076.38,0.2594,0.7406
2019-01-04,4500,2928.55,7428.55,0.3942,0.6058
2019-01-05,4500,4055.3,8555.3,0.474,0.526
2019-01-06,4500,3796.85,8296.85,0.4576,0.5424
2019-01-07,4500,2579.52,7079.52,0.3644,0.6356
2019-01-08,5000,2551.38,7551.38,0.3379,0.6621
2019-01-09,5000,3287.83,8287.83,0.3967,0.6033
2019-01-10,5000,515.44,5515.4400000000005,0.0935,0.9065
2019-01-11,5000,1757.58,6757.58,0.2601,0.7399
2019-01-12,5000,2435.97,7435.969999999999,0.3276,0.6724
2019-01-13,5000,2449.65,7449.65,0.3288,0.6712
2019-01-14,5000,1920.57,6920.57,0.2775,0.7225
2019-01-15,3000,1734.68,4734.68,0.3664,0.6336
2019-01-16,3000,3727.61,6727.610000000001,0.5541,0.4459
2019-01-17,3000,417.73,3417.73,0.1222,0.8778
2019-01-18,3000,1312.5,4312.5,0.3043,0.6957
2019-01-19,3000,2753.56,5753.5599999999995,0.4786,0.5214
2019-01-20,3000,2073.51,5073.51,0.4087,0.5913
2019-01-21,3000,640.93,3640.93,0.176,0.824
2019-01-22,1000,1049.73,2049.73,0.5121,0.4879
2019-01-23,1000,1356.59,2356.59,0.5757,0.4243
2019-01-24,1000,560.02,1560.02,0.359,0.641
2019-01-25,1000,1124.95,2124.95,0.5294,0.4706
2019-01-26,1000,937.58,1937.58,0.4839,0.5161
2019-01-27,1000,687.86,1687.8600000000001,0.4075,0.5925
2019-01-28,1000,993.69,1993.69,0.4984,0.5016
2019-01-29,700,836.13,1536.13,0.5443,0.4557
2019-01-30,700,981.86,1681.8600000000001,0.5838,0.4162
2019-01-31,700,1380.14,2080.1400000000003,0.6635,0.3365
2019-02-01,700,692.67,1392.67,0.4974,0.5026
2019-02-02,700,770.87,1470.87,0.5241,0.4759
2019-02-03,700,2091.61,2791.61,0.7492,0.2508
2019-02-04,700,2216.98,2916.98,0.76,0.24
2019-02-05,3000,2486.46,5486.46,0.4532,0.5468
2019-02-06,3000,1665.47,4665.47,0.357,0.643
2019-02-07,3000,877.2,3877.2,0.2262,0.7738
2019-02-08,3000,1973.27,4973.27,0.3968,0.6032
2019-02-09,3000,2659.34,5659.34,0.4699,0.5301
2019-02-10,3000,2037.41,5037.41,0.4045,0.5955
2019-02-11,3000,2864.69,5864.6900000000005,0.4885,0.5115
2019-02-12,3000,2844.64,5844.639999999999,0.4867,0.5133
2019-02-13,3000,2007.32,5007.32,0.4009,0.5991
2019-02-14,3000,830.68,3830.68,0.2168,0.7832
2019-02-15,3000,1738.89,4738.89,0.3669,0.6331
2019-02-16,3000,3784.07,6784.07,0.5578,0.4422
2019-02-17,3000,2107.67,5107.67,0.4126,0.5874
2019-02-18,3000,1586.43,4586.43,0.3459,0.6541
2019-02-19,3500,1720.16,5220.16,0.3295,0.6705
2019-02-20,3500,2768.28,6268.280000000001,0.4416,0.5584
2019-02-21,3500,727.39,4227.39,0.1721,0.8279
2019-02-22,3500,939.9,4439.9,0.2117,0.7883
2019-02-23,3500,2548.51,6048.51,0.4213,0.5787
2019-02-24,3500,2280.26,5780.26,0.3945,0.6055
2019-02-25,3500,1469.84,4969.84,0.2958,0.7042
2019-02-26,4000,1951.71,5951.71,0.3279,0.6721
2019-02-27,4000,4349.02,8349.02,0.5209,0.4791
2019-02-28,4000,1817.18,5817.18,0.3124,0.6876
2019-03-01,4000,1880.22,5880.22,0.3198,0.6802
2019-03-02,4000,1258.6,5258.6,0.2393,0.7607
2019-03-03,4000,2066.29,6066.29,0.3406,0.6594
2019-03-04,4000,642.34,4642.34,0.1384,0.8616
2019-03-05,2500,1153.36,3653.3599999999997,0.3157,0.6843
2019-03-06,2500,1827.02,4327.02,0.4222,0.5778
2019-03-07,2500,2335.35,4835.35,0.483,0.517
2019-03-08,2500,1918.53,4418.53,0.4342,0.5658
2019-03-09,2500,1768.28,4268.28,0.4143,0.5857
2019-03-10,2500,1294.22,3794.2200000000003,0.3411,0.6589
2019-03-11,2500,973.15,3473.15,0.2802,0.7198
2019-03-12,2000,731.1,2731.1,0.2677,0.7323
2019-03-13,2000,1498.01,3498.01,0.4282,0.5718
2019-03-14,2000,1141.27,3141.27,0.3633,0.6367
2019-03-15,2000,1684.18,3684.1800000000003,0.4571,0.5429
2019-03-16,2000,2435.12,4435.12,0.5491,0.4509
2019-03-17,2000,1837.87,3837.87,0.4789,0.5211
2019-03-18,2000,659.57,2659.57,0.248,0.752
2019-03-19,2000,982.2,2982.2,0.3294,0.6706
2019-03-20,2000,1542.81,3542.81,0.4355,0.5645
2019-03-21,2000,2365.81,4365.8099999999995,0.5419,0.4581
2019-03-22,2000,2523.41,4523.41,0.5579,0.4421
2019-03-23,2000,1736.63,3736.63,0.4648,0.5352
2019-03-24,2000,1984.0,3984.0,0.498,0.502
2019-03-25,2000,931.54,2931.54,0.3178,0.6822
2019-03-26,2000,1672.79,3672.79,0.4555,0.5445
2019-03-27,2000,2639.99,4639.99,0.569,0.431
2019-03-28,2000,1066.12,3066.12,0.3477,0.6523
2019-03-29,2000,1330.54,3330.54,0.3995,0.6005
2019-03-30,2000,692.02,2692.02,0.2571,0.7429
2019-03-31,2000,2177.75,4177.75,0.5213,0.4787
2019-04-01,2000,4019.93,6019.93,0.6678,0.3322
2019-04-02,2500,1909.27,4409.27,0.433,0.567
2019-04-03,2500,1748.14,4248.14,0.4115,0.5885
2019-04-04,2500,1136.06,3636.06,0.3124,0.6876
2019-04-05,2500,2342.68,4842.68,0.4838,0.5162
2019-04-06,2500,2307.25,4807.25,0.48,0.52
2019-04-07,2500,2719.46,5219.46,0.521,0.479
2019-04-08,2500,2200.69,4700.6900000000005,0.4682,0.5318
2019-04-09,3000,1740.91,4740.91,0.3672,0.6328
2019-04-10,3000,2143.39,5143.389999999999,0.4167,0.5833
2019-04-11,3000,804.85,3804.85,0.2115,0.7885
2019-04-12,3000,1631.25,4631.25,0.3522,0.6478
2019-04-13,3000,2872.23,5872.23,0.4891,0.5109
2019-04-14,3000,1747.0,4747.0,0.368,0.632
2019-04-15,3000,1593.58,4593.58,0.3469,0.6531
2019-04-16,4000,2168.04,6168.04,0.3515,0.6485
2019-04-17,4000,2526.49,6526.49,0.3871,0.6129
2019-04-18,4000,1476.58,5476.58,0.2696,0.7304
2019-04-19,4000,1754.92,5754.92,0.3049,0.6951
2019-04-20,4000,1330.34,5330.34,0.2496,0.7504
2019-04-21,4000,3078.84,7078.84,0.4349,0.5651
2019-04-22,4000,1608.26,5608.26,0.2868,0.7132
2019-04-23,3500,3107.11,6607.110000000001,0.4703,0.5297
2019-04-24,3500,1650.62,5150.62,0.3205,0.6795
2019-04-25,3500,620.94,4120.9400000000005,0.1507,0.8493
2019-04-26,3500,1363.31,4863.3099999999995,0.2803,0.7197
2019-04-27,3500,2056.17,5556.17,0.3701,0.6299
2019-04-28,3500,2019.73,5519.73,0.3659,0.6341
2019-04-29,3500,3549.13,7049.13,0.5035,0.4965
